id,text,created_at,author_id,lang
1962817272789041624,RT @Cobratate: I said depression wasn’t real 8 years ago and was attacked by every single celebrity and main stream media outlet in sync.…,2025-09-02 09:57:59+00:00,1608981213842182145,en
1962817259262329253,"@justfredimelda Are you subscribed?

People have said they use my videos for the classroom, writing/editing/planning, reading, mental health, ADHD and bedtime! 💕

https://t.co/YG5LKFWRjW ✍🏻",2025-09-02 09:57:56+00:00,813850520809066496,en
1962817259027546467,RT @Cobratate: I said depression wasn’t real 8 years ago and was attacked by every single celebrity and main stream media outlet in sync.…,2025-09-02 09:57:56+00:00,1830617023493079040,en
1962817257752670221,"@roxasaurus_ Wait… this just broke my social anxiety HAHA, ty for this tip 😭",2025-09-02 09:57:56+00:00,1080829213941260293,en
1962817250630471797,I hate depression so bad . And can’t stand a mf lacking UNDERSTANDING .,2025-09-02 09:57:54+00:00,893702599869968384,en
1962817248684368240,"RT @itsSaulGoodman: If Raymond Cruz didn't decide to leave Breaking Bad early, how do you think the Tuco storyline would've gone? 

**For t…",2025-09-02 09:57:54+00:00,300772098,en
1962817242111877476,RT @b3b3_gl0w0m: Me Giving someone mental health advice knowing I'm currently planning my own suicide https://t.co/PS1RsTfOPw,2025-09-02 09:57:52+00:00,1895556884913897473,en
1962817228178358273,RT @visegrad24: A Sri Lankan asylum seeker has won an appeal to stay in the UK with 5 children after telling the court it would be impossib…,2025-09-02 09:57:49+00:00,1948956642378481670,en
1962817227201351698,RT @3amfeeliings: my mental health is absolutely testing me again,2025-09-02 09:57:49+00:00,1960289081189142528,en
1962817217117983024,"RT @sugatradamus: the kind of article and news, everyone should be talking about! 

Study reveals that listening to BTS boosts fans psychol…",2025-09-02 09:57:46+00:00,1315266896556699648,en
1962817213183750469,RT @wtfcheese2: protect ur mental health at all costs,2025-09-02 09:57:45+00:00,423914869,en
1962817209249439818,"RT @AntillesKamo97: 🚨 1 personne sur 6 aux Antilles souffre de dépression.
C'est presque le double de la France hexagonale (1 sur 10 -sourc…",2025-09-02 09:57:44+00:00,928698288,fr
1962817186415944138,"RT @seinu_note: ケンさん@kenminami1 とでぷれさん@ai_depression の先月末のオフ会での繋がりでした。あそこで知り合って一緒にご飯行きましょうとなり、今回のが生まれた。

今後の仕事にもつながるし、普通に数千万円〜億の規模でまた利益出そう。…",2025-09-02 09:57:39+00:00,1712470447756034049,ja
1962817183886778802,"RT @sugatradamus: the kind of article and news, everyone should be talking about! 

Study reveals that listening to BTS boosts fans psychol…",2025-09-02 09:57:38+00:00,939815998818938880,en
1962817183420981377,"@grok @PuppiesIover In case of sound anxiety, it can be useful to show the dog a sound that does not trigger its fear/anxiety. For example, clicking a pen, dropping it, closing a cupboard door, etc., so that the dog has a ""sound catalog"" that it can ""flip through"" when it hears an unknown sound.",2025-09-02 09:57:38+00:00,778570162337411073,en
1962817177490464984,RT @23jpeg: เลิกโทษตัวเองแล้ว mental health ดีขึ้นเยอะ สิ่งที่เราตัดสินใจผิดพลาด จริงๆมันอาจจะเป็นตัวเลือกที่ดีที่สุดสำหรับตอนนั้นแล้วก็ได้,2025-09-02 09:57:37+00:00,957568237079691264,th
1962817176345231761,@elonmusknews30 Attention seeking or serious mental health,2025-09-02 09:57:36+00:00,923277776462983170,en
1962817173715640375,RT @dracsgaycuz: @slimengrimen It’s crazy how soldier that has supoosedly been attacked and bombarded by hamas with a poor mental health fr…,2025-09-02 09:57:36+00:00,1019702856474157057,en
1962817163141554538,"To be clear, I have no wish to weaponize mental health or use the term in anyway but technically. We already know this about him. He’s probably watching videos from Gaza all day spiraling. Not an excuse, but no surprise.",2025-09-02 09:57:33+00:00,1081473710551388160,en
1962817157206888600,@prgrssvoverload How it completely destroys your mental health 😭😭😭😭,2025-09-02 09:57:32+00:00,1751667325101805570,en
1962817155797495946,"RT @LordKabira: #TrueWorship_TrueHappiness
After taking spiritual initiation from Sant Rampal Ji Maharaj, the financial, health and mental…",2025-09-02 09:57:31+00:00,1664944870308425728,en
1962817149413576927,you know that when you push modern canons in historical danmei characters you seem extremely stupid mind you they live in ancient china and got married at 15 and do not give a fuck about mental health be for fucking real now,2025-09-02 09:57:30+00:00,1020006959528005637,en
1962817148302061691,"BEARING IN MIND EVERY TIME I WOULD TEXT HER I WOULD GET ANXIETY WAITING FOR HER RESPONSE 

ANYWAYS GUYS DONT RENT FROM DENISE https://t.co/5mYEP7Tk1f",2025-09-02 09:57:30+00:00,1312860526049927168,en
1962817145240490318,"@LuegianAF @CityDeskNYC @kenklippenstein DSA suggests addressing violent crime through prevention by investing in social services like mental health, housing, education, and community care to tackle root causes such as poverty and inequality. They advocate for community-based alternatives, restorative justice, and",2025-09-02 09:57:29+00:00,1720665183188922368,en
1962817144728543317,"RT @Morgsdimension: So you’re telling me ace was in the club yelling at the camera making matters worse, while his girl was somewhere strug…",2025-09-02 09:57:29+00:00,3232683137,en
1962817140970414535,"Mit 31 ne Diagnose auf Anpassungsstörung, ADHS und chronische Depression zu bekommen ist halt schon scheisse aber noch beschissener wenn deine Elterb dass seit du Teenager warst wussten aber es als westliche Erfindung abgetan haben und man seine 20er deswegen verschwendet hat",2025-09-02 09:57:28+00:00,1699537369014153216,de
